beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,0,167,0,2018-06-13 11:44:50.904575,
False,0,168,0,2018-06-13 11:44:50.921295,
False,0,168,0,2018-06-13 11:44:50.937914,
False,0,168,0,2018-06-13 11:44:50.954706,
False,0,169,0,2018-06-13 11:44:50.971397,
False,0,169,0,2018-06-13 11:44:50.987910,
False,0,169,0,2018-06-13 11:44:51.004552,
False,0,168,0,2018-06-13 11:44:51.021268,
False,0,168,0,2018-06-13 11:44:51.037913,
False,0,167,0,2018-06-13 11:44:51.054542,
False,0,166,0,2018-06-13 11:44:51.071229,
False,0,165,0,2018-06-13 11:44:51.087884,
False,0,164,0,2018-06-13 11:44:51.104533,
False,0,163,0,2018-06-13 11:44:51.121218,
False,0,161,0,2018-06-13 11:44:51.137854,
False,0,160,0,2018-06-13 11:44:51.154569,
False,0,159,0,2018-06-13 11:44:51.171219,
False,0,158,0,2018-06-13 11:44:51.187862,
False,0,156,0,2018-06-13 11:44:51.204539,
False,0,155,0,2018-06-13 11:44:51.221219,
False,0,153,0,2018-06-13 11:44:51.237915,
False,0,152,0,2018-06-13 11:44:51.254570,
False,0,150,0,2018-06-13 11:44:51.271246,
False,0,149,0,2018-06-13 11:44:51.287885,
False,0,147,0,2018-06-13 11:44:51.304558,
False,0,145,0,2018-06-13 11:44:51.321221,
False,0,143,0,2018-06-13 11:44:51.337895,
False,0,142,0,2018-06-13 11:44:51.354556,
False,0,140,0,2018-06-13 11:44:51.371219,
False,0,139,0,2018-06-13 11:44:51.387878,
False,0,138,0,2018-06-13 11:44:51.404555,
False,0,138,0,2018-06-13 11:44:51.421198,
False,0,139,0,2018-06-13 11:44:51.437890,
False,0,141,0,2018-06-13 11:44:51.454550,
False,0,144,0,2018-06-13 11:44:51.471209,
False,0,148,0,2018-06-13 11:44:51.487874,
False,0,153,0,2018-06-13 11:44:51.504562,
False,0,157,0,2018-06-13 11:44:51.521221,
False,0,163,0,2018-06-13 11:44:51.537862,
False,0,168,0,2018-06-13 11:44:51.554546,
False,0,171,0,2018-06-13 11:44:51.571209,
False,0,175,0,2018-06-13 11:44:51.587875,
