beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,0,192,0,2018-06-13 11:42:53.404434,
False,0,192,0,2018-06-13 11:42:53.421086,
False,0,192,0,2018-06-13 11:42:53.437754,
False,0,192,0,2018-06-13 11:42:53.454503,
False,0,192,0,2018-06-13 11:42:53.471151,
False,0,192,0,2018-06-13 11:42:53.487738,
False,0,192,0,2018-06-13 11:42:53.504372,
False,0,192,0,2018-06-13 11:42:53.521052,
False,0,192,0,2018-06-13 11:42:53.537738,
False,0,192,0,2018-06-13 11:42:53.554386,
False,0,192,0,2018-06-13 11:42:53.571042,
False,0,192,0,2018-06-13 11:42:53.587731,
False,0,192,0,2018-06-13 11:42:53.604383,
False,0,192,0,2018-06-13 11:42:53.621063,
False,0,192,0,2018-06-13 11:42:53.637730,
False,0,192,0,2018-06-13 11:42:53.654433,
False,0,192,0,2018-06-13 11:42:53.671058,
False,0,192,0,2018-06-13 11:42:53.691884,
False,0,192,0,2018-06-13 11:42:53.708562,
False,0,192,0,2018-06-13 11:42:53.725218,
False,0,192,0,2018-06-13 11:42:53.741920,
False,0,192,0,2018-06-13 11:42:53.758565,
False,0,192,0,2018-06-13 11:42:53.775233,
False,0,192,0,2018-06-13 11:42:53.791900,
False,0,192,0,2018-06-13 11:42:53.808536,
False,0,192,0,2018-06-13 11:42:53.825204,
False,0,192,0,2018-06-13 11:42:53.841892,
False,0,192,0,2018-06-13 11:42:53.858545,
False,0,192,0,2018-06-13 11:42:53.875225,
False,0,192,0,2018-06-13 11:42:53.891892,
False,0,192,0,2018-06-13 11:42:53.908548,
False,0,192,0,2018-06-13 11:42:53.925292,
False,0,192,0,2018-06-13 11:42:53.941991,
False,0,192,0,2018-06-13 11:42:53.958567,
False,0,192,0,2018-06-13 11:42:53.975230,
False,0,192,0,2018-06-13 11:42:53.991909,
False,0,192,0,2018-06-13 11:42:54.008589,
False,0,192,0,2018-06-13 11:42:54.025257,
False,0,192,0,2018-06-13 11:42:54.041870,
False,0,192,0,2018-06-13 11:42:54.058608,
False,0,192,0,2018-06-13 11:42:54.075227,
False,0,192,0,2018-06-13 11:42:54.091873,
False,0,192,0,2018-06-13 11:42:54.108544,
False,0,192,0,2018-06-13 11:42:54.125221,
False,0,192,0,2018-06-13 11:42:54.141877,
False,0,192,0,2018-06-13 11:42:54.158552,
False,0,192,0,2018-06-13 11:42:54.175226,
False,0,192,0,2018-06-13 11:42:54.191862,
False,0,192,0,2018-06-13 11:42:54.208541,
False,0,192,0,2018-06-13 11:42:54.225231,
False,0,192,0,2018-06-13 11:42:54.241908,
False,0,192,0,2018-06-13 11:42:54.258554,
False,0,192,0,2018-06-13 11:42:54.275256,
False,0,192,0,2018-06-13 11:42:54.291880,
False,0,192,0,2018-06-13 11:42:54.308546,
False,0,192,0,2018-06-13 11:42:54.325237,
False,0,192,0,2018-06-13 11:42:54.341878,
False,0,192,0,2018-06-13 11:42:54.358618,
False,0,192,0,2018-06-13 11:42:54.375227,
False,0,192,0,2018-06-13 11:42:54.391887,
False,0,192,0,2018-06-13 11:42:54.408545,
False,0,192,0,2018-06-13 11:42:54.425231,
False,0,192,0,2018-06-13 11:42:54.441867,
False,0,192,0,2018-06-13 11:42:54.458575,
False,0,192,0,2018-06-13 11:42:54.475224,
False,0,192,0,2018-06-13 11:42:54.491874,
False,0,192,0,2018-06-13 11:42:54.508526,
False,0,192,0,2018-06-13 11:42:54.525278,
False,0,192,0,2018-06-13 11:42:54.541876,
False,0,192,0,2018-06-13 11:42:54.558592,
False,0,192,0,2018-06-13 11:42:54.575237,
False,0,192,0,2018-06-13 11:42:54.591890,
False,0,192,0,2018-06-13 11:42:54.608564,
False,0,192,0,2018-06-13 11:42:54.625240,
False,0,192,0,2018-06-13 11:42:54.641918,
False,0,192,0,2018-06-13 11:42:54.658602,
False,0,192,0,2018-06-13 11:42:54.675242,
False,0,192,0,2018-06-13 11:42:54.691886,
False,0,192,0,2018-06-13 11:42:54.708522,
False,0,192,0,2018-06-13 11:42:54.725243,
False,0,192,0,2018-06-13 11:42:54.741848,
False,0,192,0,2018-06-13 11:42:54.758579,
False,0,192,0,2018-06-13 11:42:54.775283,
False,0,192,0,2018-06-13 11:42:54.791847,
False,0,192,0,2018-06-13 11:42:54.808549,
False,0,192,0,2018-06-13 11:42:54.825230,
False,0,192,0,2018-06-13 11:42:54.841855,
False,0,192,0,2018-06-13 11:42:54.858532,
False,0,192,0,2018-06-13 11:42:54.875246,
False,0,192,0,2018-06-13 11:42:54.891878,
False,0,192,0,2018-06-13 11:42:54.908520,
False,0,192,0,2018-06-13 11:42:54.925228,
False,0,192,0,2018-06-13 11:42:54.941901,
False,0,192,0,2018-06-13 11:42:54.958539,
False,0,192,0,2018-06-13 11:42:54.975234,
False,0,192,0,2018-06-13 11:42:54.991867,
False,0,192,0,2018-06-13 11:42:55.008559,
False,0,192,0,2018-06-13 11:42:55.025305,
False,0,192,0,2018-06-13 11:42:55.041860,
False,0,192,0,2018-06-13 11:42:55.058543,
False,0,192,0,2018-06-13 11:42:55.075243,
False,0,192,0,2018-06-13 11:42:55.091872,
False,0,192,0,2018-06-13 11:42:55.108505,
False,0,192,0,2018-06-13 11:42:55.125238,
False,0,192,0,2018-06-13 11:42:55.141853,
False,0,192,0,2018-06-13 11:42:55.158519,
False,0,192,0,2018-06-13 11:42:55.175233,
False,0,192,0,2018-06-13 11:42:55.191875,
False,0,192,0,2018-06-13 11:42:55.208502,
False,0,192,0,2018-06-13 11:42:55.225329,
False,0,192,0,2018-06-13 11:42:55.241859,
False,0,192,0,2018-06-13 11:42:55.258534,
False,0,192,0,2018-06-13 11:42:55.275242,
False,0,192,0,2018-06-13 11:42:55.291905,
False,0,192,0,2018-06-13 11:42:55.308530,
False,0,192,0,2018-06-13 11:42:55.325249,
False,0,192,0,2018-06-13 11:42:55.341830,
False,0,192,0,2018-06-13 11:42:55.358539,
False,0,192,0,2018-06-13 11:42:55.375237,
False,0,192,0,2018-06-13 11:42:55.391859,
False,0,192,0,2018-06-13 11:42:55.408539,
False,0,192,0,2018-06-13 11:42:55.425257,
False,0,192,0,2018-06-13 11:42:55.441837,
False,0,192,0,2018-06-13 11:42:55.458535,
False,0,192,0,2018-06-13 11:42:55.475233,
