pulseWaveform1,pulseRate1,time1,pulseWaveform2,pulseRate2,time2
163,85,0.08195,165,79,0.00934
162,85,0.091718,164,79,0.026053
160,85,0.112519,162,79,0.042723
158,85,0.129196,161,79,0.059597
156,85,0.146152,159,79,0.076049
155,85,0.162519,158,79,0.092689
153,85,0.179176,156,79,0.109576
152,85,0.196208,155,79,0.126072
151,85,0.212551,154,79,0.142741
150,85,0.22917,153,79,0.15957
149,85,0.246262,152,79,0.176051
149,85,0.26251,152,79,0.192693
149,85,0.279164,151,79,0.209772
148,85,0.296495,151,79,0.22602
148,85,0.312484,150,79,0.242733
148,85,0.329209,150,79,0.259694
149,85,0.346419,150,79,0.276016
151,85,0.362499,151,79,0.292711
155,85,0.379206,153,79,0.309695
163,85,0.396173,158,79,0.326007
173,85,0.412489,166,79,0.342659
186,85,0.429155,175,79,0.359519
199,85,0.446151,185,79,0.376061
213,85,0.462508,196,79,0.392723
224,85,0.479174,204,79,0.409968
231,85,0.496542,209,79,0.426022
235,85,0.512489,211,79,0.442709
235,85,0.52917,210,79,0.459655
233,85,0.546286,207,79,0.476031
230,85,0.562499,203,78,0.492737
226,85,0.579179,196,78,0.509487
194,85,0.596192,190,78,0.526053
192,85,0.612517,183,78,0.5427
190,85,0.629186,178,78,0.560202
188,85,0.646256,172,78,0.576023
187,85,0.6625,168,78,0.592692
185,85,0.679166,166,78,0.609644
184,85,0.696434,165,78,0.626041
183,85,0.712506,165,78,0.642678
182,85,0.729171,165,78,0.659655
181,85,0.746151,167,78,0.676047
180,85,0.762529,168,78,0.692698
179,85,0.77914,168,78,0.70945
178,85,0.796322,169,78,0.726041
176,85,0.812489,169,78,0.742697
175,85,0.829189,169,78,0.759658
173,85,0.846186,168,78,0.776034
171,85,0.862587,167,78,0.792702
170,85,0.879174,165,78,0.809494
168,85,0.896399,163,78,0.826008
168,85,0.912512,161,78,0.842687
167,85,0.929156,160,78,0.85951
166,85,0.946232,159,78,0.87602
165,85,0.962507,157,78,0.892679
164,85,0.979156,157,78,0.909545
163,85,0.996383,156,78,0.926017
162,85,1.012503,156,78,0.942694
162,85,1.029183,155,78,0.959778
161,85,1.046161,154,78,0.97599
160,85,1.062519,154,78,0.99266
160,85,1.079194,153,78,1.0096
159,85,1.09616,153,78,1.026044
159,85,1.112489,152,78,1.042651
160,85,1.129196,153,78,1.060416
161,85,1.146338,156,78,1.076034
165,85,1.162498,161,78,1.092709
170,85,1.179174,168,78,1.109443
176,85,1.196302,178,78,1.126009
183,85,1.212493,189,78,1.142737
190,85,1.229164,199,78,1.159649
195,85,1.246205,208,78,1.176019
199,85,1.262486,214,78,1.192672
201,85,1.279161,216,78,1.209587
201,85,1.296249,215,78,1.226045
200,85,1.312502,212,78,1.242661
199,85,1.329151,208,78,1.25989
197,85,1.346191,202,78,1.276008
195,85,1.362532,195,78,1.292702
193,85,1.37922,189,78,1.30948
192,85,1.39637,182,78,1.326015
190,85,1.412494,176,78,1.342691
189,85,1.429194,172,78,1.359718
188,85,1.446512,169,78,1.376028
188,85,1.462487,168,78,1.392732
187,85,1.479202,168,78,1.409514
186,85,1.496603,168,78,1.426023
185,85,1.512489,168,78,1.442692
183,85,1.529172,169,78,1.459752
182,85,1.546205,170,78,1.47599
180,85,1.562498,171,78,1.492723
178,85,1.579168,170,78,1.509572
176,85,1.59628,170,78,1.525999
174,85,1.612495,169,78,1.54268
172,85,1.629154,168,78,1.559549
170,85,1.64614,168,78,1.576006
